user_id,predicted_clv_rf,predicted_clv_lgb,predicted_clv_xgb,predicted_clv_cat,predicted_clv_avg,target_customer_value,clv_decile
553431815,23431.38406221455,27465.74784209681,26441.664,17525.995331408754,23716.197824555027,40582.335231401055,10
549109608,15178.294341585723,16128.98443658657,16920.941,18120.063132138755,16587.070829140263,14475.90707511884,10
549109608,13777.147277334367,17841.88785461724,14962.601,15534.128753324583,15528.941117803422,14475.90707511884,10
513320236,13237.067762394614,14073.163720207469,14563.764,17079.05223820229,14738.261848169843,12065.076987470551,10
530834332,10214.085324674255,15019.663034749427,15824.936,17283.48810211229,14585.543002102742,3717.849272021786,10
513320236,12880.705784837413,13093.60194194091,15605.174,15305.954298299623,14221.358963300736,12065.076987470551,10
598224683,8354.035210999304,16856.545770158587,15154.892,13002.57611823344,13342.012175238458,9661.290670922011,10
568782581,13242.679943004952,11590.960888376383,13836.823,13518.675729094633,13047.284950665868,2984.8751851565507,10
534545940,13208.527918776814,14463.522831676815,11127.772,12568.836077649175,12842.164822260076,7366.658371237244,10
513230794,9574.549221351632,14074.778408815326,14685.926,12676.243198197622,12752.874152403645,13354.959524844746,10
569333570,12810.47581784694,13435.930405963192,12344.037,12307.041148027893,12724.371120303256,12634.138308249514,10
512386086,16117.115425282798,9489.683846588665,11934.628,11745.864308264225,12321.822877455797,10981.95013352154,10
535658024,12860.339348111389,14432.042089741513,10929.679,10921.981923166188,12286.010517989149,8140.612936909666,10
513320236,12420.435565313826,12784.902885920736,12420.316,10260.217669125155,11971.46813165243,12065.076987470551,10
513320236,11292.372679855749,8248.761127723157,12950.502,12004.423839769359,11124.014900118316,12065.076987470551,10
512386086,8760.951429697492,9584.357019904957,14868.484,11115.105100929943,11082.224481383098,10981.95013352154,10
563599039,15764.763530529446,9167.015377670717,10342.737,8454.169137599507,10932.171337621792,13744.497688136807,10
519267944,9583.064537796832,11067.40176996813,11021.577,10817.939182399261,10622.49565965043,29719.41201981563,10
