user_id,predicted_clv_rf,predicted_clv_lgb,predicted_clv_xgb,predicted_clv_cat,predicted_clv_avg,target_customer_value,clv_decile,segment
553431815,23431.38406221455,27465.74784209681,26441.664,17525.995331408754,23716.197824555027,40582.335231401055,10,VIP
549109608,15178.294341585723,16128.98443658657,16920.941,18120.063132138755,16587.070829140263,14475.90707511884,10,VIP
549109608,13777.147277334367,17841.88785461724,14962.601,15534.128753324583,15528.941117803422,14475.90707511884,10,VIP
513320236,13237.067762394614,14073.163720207469,14563.764,17079.05223820229,14738.261848169843,12065.076987470551,10,VIP
530834332,10214.085324674255,15019.663034749427,15824.936,17283.48810211229,14585.543002102742,3717.849272021786,10,VIP
513320236,12880.705784837413,13093.60194194091,15605.174,15305.954298299623,14221.358963300736,12065.076987470551,10,VIP
598224683,8354.035210999304,16856.545770158587,15154.892,13002.57611823344,13342.012175238458,9661.290670922011,10,VIP
568782581,13242.679943004952,11590.960888376383,13836.823,13518.675729094633,13047.284950665868,2984.8751851565507,10,VIP
534545940,13208.527918776814,14463.522831676815,11127.772,12568.836077649175,12842.164822260076,7366.658371237244,10,VIP
513230794,9574.549221351632,14074.778408815326,14685.926,12676.243198197622,12752.874152403645,13354.959524844746,10,VIP
569333570,12810.47581784694,13435.930405963192,12344.037,12307.041148027893,12724.371120303256,12634.138308249514,10,VIP
512386086,16117.115425282798,9489.683846588665,11934.628,11745.864308264225,12321.822877455797,10981.95013352154,10,VIP
535658024,12860.339348111389,14432.042089741513,10929.679,10921.981923166188,12286.010517989149,8140.612936909666,10,VIP
513320236,12420.435565313826,12784.902885920736,12420.316,10260.217669125155,11971.46813165243,12065.076987470551,10,VIP
513320236,11292.372679855749,8248.761127723157,12950.502,12004.423839769359,11124.014900118316,12065.076987470551,10,VIP
512386086,8760.951429697492,9584.357019904957,14868.484,11115.105100929943,11082.224481383098,10981.95013352154,10,VIP
563599039,15764.763530529446,9167.015377670717,10342.737,8454.169137599507,10932.171337621792,13744.497688136807,10,VIP
519267944,9583.064537796832,11067.40176996813,11021.577,10817.939182399261,10622.49565965043,29719.41201981563,10,VIP
564068124,7288.164972843817,10546.579678024493,10171.308,12281.087408881625,10071.784919234358,4132.288356976852,10,VIP
556976865,9041.354967678426,10604.752328559063,9280.72,8792.695441348387,9429.880616037095,9483.874395403762,10,VIP
513044965,12468.962499287853,8407.85442983865,7427.8394,9136.820730758405,9360.369253838413,2920.8191082904027,10,VIP
534545940,7511.277969855551,10405.60579726871,9852.547,9425.028066425082,9298.614677137335,7366.658371237244,10,VIP
595104624,12047.369879085192,9040.297118133838,8982.963,7054.490852467711,9281.280185077934,11615.57584126733,10,VIP
556342445,6198.719613343128,9009.326818946003,10957.636,10063.62386841002,9057.326510721663,1453.9677988697986,10,VIP
513901034,10345.634703551284,7886.249963612291,8463.093,8401.047069489461,8774.006127522634,5453.377109306744,10,VIP
601324663,4822.19727732056,9678.842377828067,11183.478,9194.173467434774,8719.672665411475,5301.48648555937,10,VIP
519267944,10152.236311272001,7268.230715360286,8100.3525,7047.051644845238,8141.967802635007,29719.41201981563,10,VIP
512987188,7118.479562003805,9938.164555941801,7768.909,6508.544755445806,7833.524513269727,819.0499528937105,10,VIP
513229632,7513.202546833367,10962.796962779286,6571.946,6096.189779709451,7786.033772525838,1032.7956850818557,10,VIP
538216048,7342.707133700821,9939.703071014395,6456.2505,7400.873271772178,7784.88349119216,11730.321597879689,10,VIP
558422256,7140.511954849551,7187.337196536489,9911.675,6717.127872572758,7739.162957161574,2506.4462900032613,10,VIP
515428951,7940.271079323287,8712.86580701146,7789.834,5586.727318075127,7507.424547196219,9223.261281957031,10,VIP
519267944,7405.17556132803,7282.828048557303,7651.031,7497.660284567915,7459.173664043,29719.41201981563,10,VIP
513677580,7192.060509510553,9738.363834036938,6086.453,6500.851147086959,7379.432153908613,8810.819194916301,10,VIP
515246658,8112.083384477726,8514.66572885945,6362.1294,5792.1587978867165,7195.259326438786,2566.8054632315625,10,VIP
513117637,7400.224888401603,6302.617779936995,7328.1567,7375.016666685399,7101.504018326312,10019.945889727329,10,VIP
512842822,6952.151449796496,8354.222244258155,6836.7925,5946.668057919387,7022.458558110697,4111.13436550704,10,VIP
563599039,11760.298403498404,5800.875120414277,4832.044,5572.898284039488,6991.528938316167,13744.497688136807,10,VIP
532499743,7085.001135817044,5627.709794881152,7323.608,7547.609555624674,6895.982099119779,7497.485159121349,10,VIP
513677580,8041.947548113618,6277.407861480744,6117.6206,6207.987635071539,6661.240912533663,8810.819194916301,10,VIP
520264548,7863.70700825638,7541.472638596679,5997.1895,5023.158907489358,6606.382001866854,2495.6837187448214,10,VIP
516010934,6042.679620744196,7881.233534432428,4574.9307,7652.782950983422,6537.906692555637,5899.445657240635,10,VIP
553006773,6364.320560578307,7578.500802944671,6185.479,5394.931414494512,6380.807945480935,8175.40979858057,10,VIP
515440611,6714.818241955834,7896.022519236924,6082.914,4815.142495825258,6377.224329879504,614.4575662614749,10,VIP
579154915,7703.250214060798,5688.462968155596,6715.879,5073.833786954807,6295.3564688553,1900.2342514889287,10,VIP
513901034,6304.417600438615,5891.1916899694,7157.065,5685.35326207776,6259.506873473006,5453.377109306744,10,VIP
512511358,7690.991874479543,6530.3015646942695,5104.634,5647.986157500661,6243.478346434244,4589.782330815299,10,VIP
512409624,6279.721121609498,7215.28446523537,5811.1978,5631.9207909775405,6234.531032932165,7294.513823315884,10,VIP
514726585,6093.444119228083,6343.885202465755,6389.8887,6035.009038917191,6215.556758121507,6751.408440464114,10,VIP
512364323,6943.273830970936,6212.552558037623,5265.4434,6342.560684359389,6190.957608185737,3931.8450882332418,10,VIP
564068124,5195.08645248433,6901.393050275481,6958.88,5581.278817459105,6159.159550757854,4132.288356976852,10,VIP
544711652,4455.870436302828,7561.989441364718,6045.018,6200.403124482304,6065.8202671390245,4511.100017405954,10,VIP
514726585,5747.288945924066,6716.033401944988,5898.958,5722.577679067127,6021.214508687171,6751.408440464114,10,VIP
513298115,5956.48799616125,5475.295681865903,6822.359,5573.832854763901,5956.993854877452,6026.458067888357,10,VIP
592064227,4524.637927541259,7804.627272309505,5784.2134,5620.311933981287,5933.4476281845755,5439.852883689397,10,VIP
519250600,6688.0234295672435,5772.143628162651,5633.544,5606.60241503848,5925.078354520218,21487.29391366299,10,VIP
542561762,5446.100539557514,7615.422884692975,6248.4805,4329.769793576339,5909.943421644207,978.1186981131106,10,VIP
538473314,5078.407068313825,5985.573850544102,6421.6284,6049.4539601257,5883.765824238095,5336.272346757105,10,VIP
513298115,5895.53532030471,6047.070235472439,5771.8228,5582.918102682782,5824.336603091545,6026.458067888357,10,VIP
543217791,5103.370997173355,5273.691982382398,6282.955,6008.175482389689,5667.048385017611,1837.0859899323689,10,VIP
538216048,6159.955585692509,5776.949858029225,4814.029,5473.738666201914,5556.168229629349,11730.321597879689,10,VIP
545376441,5715.870423347967,5913.173483314772,5602.4814,4810.059382358625,5510.396183583465,5504.832106142668,10,VIP
513677580,5256.948814944173,6502.687813102577,5191.3564,4983.33259132715,5483.5814161716,8810.819194916301,10,VIP
545308546,5255.805402612143,5530.980363656285,5989.5093,5095.793886124954,5468.022232434282,6794.529530601389,10,VIP
512786896,5401.739277787954,5139.817268767177,6015.333,5182.855973824443,5434.9363820480185,2706.815442338112,10,VIP
545743740,5441.443455638096,4229.113613866082,6094.1377,5677.78944923146,5360.621053512034,3088.1964445055805,10,VIP
560714950,5056.238012801122,5317.554350636221,5889.8438,5143.71839146851,5351.838626226463,1469.9922282875843,10,VIP
561203381,4941.040591176187,6021.705065725491,4927.0806,5370.3743525308455,5315.050143959694,3722.260675431794,10,VIP
591369581,4520.305830847194,5417.275695436674,5716.0933,5405.118050111156,5264.698209528444,418.773792734374,10,VIP
563051763,5187.051638736905,4872.87550106485,5382.1445,5613.898918889004,5263.99264748519,5350.8712406472905,10,VIP
563907320,4735.59595047586,4560.972948776783,6284.377,5245.776859909993,5206.680678071909,2646.0041353479223,10,VIP
545376441,4675.8756030974255,6632.607303200921,4559.7715,4864.588521694956,5183.210728092075,5504.832106142668,10,VIP
555394812,5838.663166966715,5045.42221956742,4370.658,5080.9771403940185,5083.930182513288,10541.804726415185,10,VIP
513322839,4444.389221887032,4990.497770936052,5297.105,5536.749335548062,5067.185327209974,5325.249638332907,10,VIP
513901034,5316.960487209109,5333.0026507461125,4476.128,5084.406176869476,5052.624311128049,5453.377109306744,10,VIP
543801517,4363.764539680191,8301.266884876366,3580.1953,3926.527344676216,5042.938520433193,4120.112618500733,10,VIP
541377134,3938.0224794482356,5764.088686312132,5402.324,4897.198992124779,5000.408594158787,1613.0765502713944,10,VIP
563599039,4601.079470399119,4450.01513420455,5325.8247,5596.948917470474,4993.467057276348,13744.497688136807,10,VIP
513201462,4499.3999465801,5825.973069969826,4554.066,5006.415178315644,4971.46352820858,2074.568013428417,10,VIP
532499743,5141.258169855145,4414.6060672617405,5665.018,4622.825166895652,4960.926867604697,7497.485159121349,10,VIP
546881736,5088.81291833625,4160.228135176197,4970.4355,5607.023202695712,4956.62495077079,1988.2713653435076,10,VIP
515058599,4488.838342690497,5507.281409883719,5222.897,4565.24321064217,4946.064983968159,3624.698394094271,10,VIP
566448225,4730.58227713978,4735.542949108236,5490.1743,4720.7274059305955,4919.2567371462155,3118.154911017825,10,VIP
588933825,5412.037794065579,4265.2804943273495,5379.299,4604.482589825465,4915.274926585848,3846.6149462202247,10,VIP
514726585,5074.661598521804,4461.692978221913,5514.2705,4559.388261547041,4902.503336525815,6751.408440464114,10,VIP
556025823,4712.154336145696,4267.100194338502,5452.5967,5154.318691617054,4896.542475447188,3122.8279513142425,10,VIP
513209107,3723.463292870745,5592.132047055059,4989.0225,5191.785199161523,4874.100750006207,1517.4168932626792,10,VIP
521951388,5142.138829469465,5014.84990961308,4679.484,4587.259412619401,4855.933009605174,1276.984323665865,10,VIP
572856430,4525.555990545894,4931.846403295252,5220.0835,4735.215222432302,4853.1752780918,5210.751204021728,10,VIP
556976865,5660.494712685682,4853.91071191465,4337.8228,4478.202493368139,4832.60766796868,9483.874395403762,10,VIP
512842822,4520.286916741712,5265.197521385709,4921.0864,4540.719320037594,4811.822545986566,4111.13436550704,10,VIP
513906722,5388.822153494188,5473.389840510547,4655.3125,3634.4112155578755,4787.983927390653,3822.5644783814737,10,VIP
566448225,4389.717287558096,4365.738783033928,4974.331,5377.966713318413,4776.938459649484,3118.154911017825,10,VIP
513107325,4999.070570473099,3840.1658499325354,5806.097,4454.9508904966815,4775.071119717766,2195.3233613634866,10,VIP
529047625,4225.530399529335,5014.500299952434,4210.3403,5461.559521920878,4727.982638358474,1771.8476917191126,10,VIP
613954635,3998.930620779244,3923.3824055602236,5828.494,4974.705106161873,4681.378068281585,4729.684368520303,10,VIP
571539009,4308.678622721517,4190.3351255731595,6109.779,4063.6978315896363,4668.122597119516,1735.4011800791416,10,VIP
513717990,5520.742658263377,4134.830082382799,4613.9414,4143.442912890107,4603.239264946571,4024.27503021257,10,VIP
565543296,4501.0197246581,3863.472851274493,5247.972,4733.39816565618,4586.465727389381,1589.6856336841247,10,VIP
519322381,4515.954572535369,5013.035655316672,3691.1797,4985.820263109095,4551.497544615284,2372.926045271488,10,VIP
